"";"Boa/Ótima";"Regular";"Ruim/Péssima";"NS/NR"
"Candidato 2";45,4;6,6;0,2;0,1
"Candidato 1";1,7;1,7;0,8;0
"Candidato 8";0,5;1;1,1;0
"Candidato 5";1,1;1,1;0,3;0
"Candidato 10";0,8;0,9;0,3;0
"Candidato 9";0,8;0,7;0,4;0
"Candidato 3";0,8;0,6;0,2;0
"Candidato 4";0,6;0,6;0;0
"Candidato 6";0,4;0,5;0,1;0
"Candidato 7";0,1;0,4;0,2;0
"Candidato 12";0,4;0,1;0,1;0
"Candidato 14";0,3;0,2;0,1;0
"Candidato 11";0,1;0;0,2;0
"Candidato 13";0,2;0,1;0;0
"Ninguém/Branco/Nulo";4,4;5,5;3,8;0,5
"NS/NR";4,8;4,9;3,5;0,8
