"";"de 16 a 24";"de 25 a 34";"de 35 a 44";"de 45 a 59";"mais de 60"
"Candidato 2";12,2;17,8;19,5;25,4;25
"Candidato 1";2,4;16,7;23,8;28,6;28,6
"Candidato 8";11,5;26,9;19,2;30,8;11,5
"Candidato 5";12;36;36;16;0
"Candidato 10";25;30;20;15;10
"Candidato 9";21,1;26,3;21,1;26,3;5,3
"Candidato 3";25;18,8;12,5;12,5;31,2
"Candidato 4";0;0;8,3;58,3;33,3
"Candidato 6";20;30;30;10;10
"Candidato 7";14,3;14,3;14,3;14,3;42,9
"Candidato 12";0;16,7;16,7;66,7;0
"Candidato 14";33,3;33,3;33,3;0;0
"Candidato 11";0;33,3;0;66,7;0
"Candidato 13";0;33,3;0;33,3;33,3
"Ninguém/Branco/Nulo";13,4;19;19,7;25,4;22,5
"NS/NR";17,1;13,6;21,4;24,3;23,6
